name,age,gender,residence,income,education_level,yearly_energy_consumption_kWh,political_preferences
Petr Válek,29,muž,Brno,32000,vysokoškolské,3100,ČSSD
Eva Křížová,45,žena,Liberec,29000,středoškolské s maturitou,4200,ODS
Lucie Dvořáková,33,žena,Pardubice,31000,vysokoškolské,3700,TOP 09
Jiří Horák,52,muž,Ostrava,28000,středoškolské bez maturity,4500,ANO
Martina Novotná,38,žena,Plzeň,34000,vysokoškolské,3900,Piráti
Petr Svoboda,29,muž,Brno,37000,vysokoškolské,3200,SPD
Eva Kopecká,47,žena,Liberec,29000,středoškolské s maturitou,4100,ODS
Lucie Dvořáková,34,žena,Olomouc,32000,vysokoškolské,3600,ČSSD
Jan Novák,52,muž,Ostrava,33000,středoškolské s maturitou,4700,ANO
Martina Horáková,39,žena,Plzeň,28000,vyšší odborné,3500,Piráti
Petr Svoboda,30,muž,Brno,35000,vysokoškolské,3800,TOP 09
Eva Jelínková,47,žena,Praha,40000,vysokoškolské,4200,ODS
Lucie Křížová,34,žena,Liberec,29000,středoškolské s maturitou,3600,ČSSD
Tomáš Novotný,52,muž,Ostrava,33000,středoškolské bez maturity,4000,ANO
Martina Dvořáková,28,žena,Plzeň,27000,vysokoškolské,3400,Piráti
Jiří Horák,36,muž,Brno,32000,vysokoškolské,3800,SPD
Eva Nováková,45,žena,Praha,41000,vysokoškolské,4600,ODS
Lukáš Válek,31,muž,Liberec,29000,středoškolské s maturitou,3600,ČSSD
Barbora Křížová,52,žena,Ostrava,38000,vysokoškolské,4200,ANO
Petr Svoboda,28,muž,Plzeň,27000,vyšší odborné,3400,Piráti
Martina Horáková,37,žena,Brno,33000,vysokoškolské,3900,TOP 09
Jiří Novák,45,muž,Praha,45000,vysokoškolské,5000,ODS
Eva Dvořáková,34,žena,Liberec,31000,středoškolské s maturitou,3600,ČSSD
Lukáš Kříž,51,muž,Ostrava,37000,vysokoškolské,4300,ANO
Petra Svobodová,29,žena,Plzeň,28000,vyšší odborné,3200,Piráti
Martin Horák,38,muž,Brno,33000,vysokoškolské,4000,SPD
Tereza Novotná,43,žena,Praha,45000,vysokoškolské,3700,ODS
Jiří Dvořák,34,muž,Liberec,31000,středoškolské s maturitou,3600,ČSSD
Eva Křížová,27,žena,Ostrava,27000,vysokoškolské,2900,ANO
Petr Novák,51,muž,Plzeň,35000,vyšší odborné,4500,Piráti
Martina Hrubá,29,žena,Brno,33000,vysokoškolské,3200,TOP 09
Lucie Svobodová,43,žena,Praha,42000,vysokoškolské,4000,ODS
Jakub Dvořák,34,muž,Liberec,31000,středoškolské s maturitou,3700,ČSSD
Eva Horáková,27,žena,Ostrava,28000,vysokoškolské,2900,ANO
Petr Novák,52,muž,Plzeň,38000,středoškolské bez maturity,4500,SPD
Martina Kopecká,36,žena,Brno,33000,vysokoškolské,3400,Piráti
Michaela Jelínková,45,žena,Ústí nad Labem,29500,vyšší odborné,3900,ODS
Josef Dvořák,34,muž,Hradec Králové,32000,středoškolské s maturitou,4100,ČSSD
Tereza Svobodová,28,žena,Ostrava,28000,vysokoškolské,3600,ANO
Petr Novák,52,muž,Plzeň,38000,středoškolské bez maturity,4500,SPD
Lucie Horáková,36,žena,Brno,34000,vysokoškolské,4200,Piráti
Martin Vlček,45,muž,Liberec,40000,vyšší odborné,4800,ODS
Eva Dvořáková,31,žena,Pardubice,32000,středoškolské s maturitou,4000,ČSSD
Jana Procházková,27,žena,Ostrava,28000,vysokoškolské,3500,ANO
Petr Novák,52,muž,Plzeň,38000,středoškolské bez maturity,4600,SPD
Lucie Křížová,34,žena,Brno,36000,vysokoškolské,4200,Piráti
Marek Svoboda,45,muž,Liberec,33000,vyšší odborné,4800,ODS
Veronika Dvořáková,31,žena,Hradec Králové,31000,středoškolské s maturitou,3000,ČSSD
Jana Procházková,29,žena,Ostrava,28000,středoškolské bez maturity,3500,ANO
Petr Novák,52,muž,Plzeň,38000,vysokoškolské,4500,SPD
Lucie Křížová,34,žena,Brno,36000,vysokoškolské,4000,Piráti
Petra Hrubá,45,žena,Pardubice,33000,vyšší odborné,3900,ODS
Lucie Svobodová,29,žena,Liberec,28000,středoškolské s maturitou,3500,ČSSD
Martin Vávra,37,muž,Ostrava,32000,vysokoškolské,4200,ANO
Eva Dvořáková,52,žena,Plzeň,36000,vyšší odborné,4800,SPD
Adam Novák,34,muž,Brno,29000,středoškolské bez maturity,3300,Piráti
Klára Horáková,45,žena,Praha,42000,vysokoškolské,3900,ODS
Petr Šimek,29,muž,Liberec,27000,středoškolské s maturitou,3000,ČSSD
Martina Vlčková,38,žena,Ostrava,31000,vyšší odborné,3500,ANO
Eva Dvořáková,52,žena,Plzeň,33000,středoškolské bez maturity,3700,SPD
Tomáš Novotný,34,muž,Brno,36000,vysokoškolské,4100,Piráti
Vlastaa Procházková,45,žena,Praha,42000,vysokoškolské,2800,ODS
Lukáš Svoboda,29,muž,Liberec,28000,středoškolské s maturitou,3300,ČSSD
Martina Horáková,38,žena,Ostrava,31000,vyšší odborné,2900,ANO
Lukáš Kříž,52,muž,Plzeň,38000,vysokoškolské,4500,SPD
Eva Dvořáková,31,žena,Pardubice,32000,středoškolské s maturitou,4000,ČSSD
Vlastaa Procházková,27,žena,Ostrava,28000,vysokoškolské,3500,ANO
Lukáš Novák,52,muž,Plzeň,38000,středoškolské bez maturity,4600,SPD
Lucie Křížová,34,žena,Brno,36000,vysokoškolské,4200,Piráti
Marek Svoboda,45,muž,Liberec,33000,vyšší odborné,4800,ODS
Veronika Dvořáková,31,žena,Hradec Králové,31000,středoškolské s maturitou,3000,ČSSD
Jana Procházková,29,žena,Ostrava,28000,středoškolské bez maturity,3500,ANO
Marek Novák,52,muž,Plzeň,38000,vysokoškolské,4500,SPD
Lucie Křížová,34,žena,Brno,36000,vysokoškolské,4000,Piráti
Martin Válek,45,muž,Ústí nad Labem,33000,středoškolské s maturitou,4200,ODS
Eva Dvořáková,38,žena,Liberec,31000,vyšší odborné,3900,ČSSD
Jana Horáková,29,žena,Ostrava,28000,středoškolské bez maturity,3600,ANO
Marek Novák,52,muž,Plzeň,38000,vysokoškolské,4500,SPD
Lucie Svobodová,34,žena,Brno,29500,vysokoškolské,3700,Piráti
Martin Jelínek,45,muž,Praha,42000,vysokoškolské,4800,ODS
Eva Dvořáková,37,žena,Liberec,31000,středoškolské s maturitou,3400,ČSSD
Jiří Krejčí,29,muž,Ostrava,28000,vysokoškolské,3200,ANO
Hana Nováková,52,žena,Plzeň,33000,středoškolské bez maturity,4000,SPD
Lukáš Svoboda,34,muž,Brno,36000,vysokoškolské,3700,Piráti
Martina Hrušková,45,žena,České Budějovice,29500,vyšší odborné,3800,TOP 09
Petr Dvořák,38,muž,Liberec,31000,středoškolské s maturitou,3400,ODS
Eva Křížová,29,žena,Ostrava,28000,vysokoškolské,3600,ANO
Jan Novák,52,muž,Plzeň,33000,středoškolské bez maturity,4200,SPD
Lucie Svobodová,34,žena,Brno,32000,vysokoškolské,3100,Piráti
Michaela Horáková,45,žena,Praha,45000,vysokoškolské,3800,TOP 09
Tomáš Dvořák,37,muž,Liberec,31000,středoškolské s maturitou,3300,ČSSD
Eva Křížová,29,žena,Ostrava,28000,vyšší odborné,2500,ANO
Jiří Novák,52,muž,Plzeň,38000,vysokoškolské,4200,ODS
Lenka Svobodová,34,žena,Brno,33000,vysokoškolské,2900,Piráti
Martina Horáková,45,žena,Pardubice,36000,středoškolské s maturitou,3600,SPD
Tomáš Dvořák,37,muž,Liberec,40000,vysokoškolské,3300,ČSSD
Eva Křivánková,29,žena,Ostrava,28000,vyšší odborné,2500,ANO
Petr Novák,52,muž,Plzeň,38000,středoškolské bez maturity,4100,ODS
Jana Vávrová,34,žena,Brno,32000,vysokoškolské,2800,Piráti
Martin Svoboda,45,muž,Praha,45000,vysokoškolské,3600,TOP 09
Lucie Horáková,27,žena,Liberec,29000,vyšší odborné,2600,ČSSD
Eva Dvořáková,39,žena,Ostrava,34000,středoškolské s maturitou,3300,ANO
Petr Novák,52,muž,Plzeň,38000,vysokoškolské,4000,ODS
Jana Křížová,34,žena,Brno,37000,vysokoškolské,2800,Piráti
Martin Svoboda,45,muž,Praha,45000,vysokoškolské,3500,TOP 09
Lucie Horáková,28,žena,Liberec,32000,středoškolské s maturitou,2500,ČSSD
Eva Dvořáková,37,žena,Ostrava,34000,vysokoškolské,3000,ANO
Tomáš Novák,52,muž,Plzeň,39000,vyšší odborné,4000,ODS
Jana Křížová,34,žena,Brno,36000,vysokoškolské,2800,Piráti
Petr Svoboda,45,muž,Praha,45000,vysokoškolské,3500,TOP 09
Lucie Novotná,29,žena,Liberec,32000,středoškolské s maturitou,2500,ČSSD
Eva Dvořáková,38,žena,Ostrava,33000,středoškolské bez maturity,2900,ANO
Tomáš Vlček,52,muž,Plzeň,38000,vysokoškolské,4000,ODS
Jana Horáková,34,žena,Brno,37000,vysokoškolské,3100,Piráti
Martin Svoboda,45,muž,Praha,45000,vysokoškolské,4200,TOP 09
Lucie Nováková,29,žena,Liberec,28000,středoškolské s maturitou,2600,ČSSD
Petr Kříž,38,muž,Ostrava,32000,vyšší odborné,3400,ANO
Veronika Dvořáková,52,žena,Plzeň,34000,vysokoškolské,3800,ODS
Jana Horáková,33,žena,Brno,38000,vysokoškolské,3000,Piráti
Martin Svoboda,45,muž,Praha,45000,vysokoškolské,4500,TOP 09
Lucie Nováková,29,žena,Liberec,28000,středoškolské s maturitou,2500,ČSSD
Petr Kříž,37,muž,Ostrava,32000,vysokoškolské,3400,ANO
Eva Dvořáková,52,žena,Plzeň,36000,vysokoškolské,4200,ODS
Jana Horáková,34,žena,Brno,33000,vysokoškolské,3600,Piráti
Martin Svoboda,46,muž,Pardubice,38000,vyšší odborné,3900,SPD
Lucie Novotná,29,žena,Liberec,28000,středoškolské s maturitou,3200,ČSSD
Petr Kříž,37,muž,Ostrava,31000,vysokoškolské,4500,ANO
Eva Dvořáková,52,žena,Plzeň,29000,středoškolské bez maturity,3750,ODS
Jana Horáková,34,žena,Brno,33000,vysokoškolské,4200,Piráti
Marek Svoboda,45,muž,Praha,45000,vysokoškolské,4800,TOP 09
Lucie Nováková,29,žena,Liberec,28000,vyšší odborné,3200,ČSSD
Tomáš Kříž,38,muž,Ostrava,37000,středoškolské s maturitou,4100,ANO
Eva Dvořáková,52,žena,Plzeň,31000,středoškolské bez maturity,3650,SPD
Jiří Novotný,34,muž,Brno,39000,vysokoškolské,4300,Piráti
Lucie Svobodová,43,žena,Praha,42000,vysokoškolské,4000,ODS
Jakub Dvořák,34,muž,Liberec,31000,středoškolské s maturitou,3700,ČSSD
Eva Horáková,27,žena,Ostrava,28000,vysokoškolské,2900,ANO
Petr Novák,52,muž,Plzeň,38000,středoškolské bez maturity,4500,SPD
Martina Kopecká,36,žena,Brno,33000,vysokoškolské,3400,Piráti
Michaela Jelínková,45,žena,Ústí nad Labem,29500,vyšší odborné,3900,ODS
Josef Dvořák,34,muž,Hradec Králové,32000,středoškolské s maturitou,4100,ČSSD
Tereza Svobodová,28,žena,Ostrava,28000,vysokoškolské,3600,ANO
Martina Hrubá,29,žena,Brno,33000,vysokoškolské,3200,TOP 09
