name,age,gender,residence,income,education_level,yearly_energy_consumption_kWh,political_preferences
Lucie Novotná,52,žena,Ostrava,28000,středoškolské bez maturity,4500,ANO
Eva Křížová,37,žena,Liberec,33000,vysokoškolské,3900,Piráti
Tomáš Horák,45,muž,Plzeň,36000,středoškolské s maturitou,4200,ODS
Jana Dvořáková,34,žena,Hradec Králové,31000,vysokoškolské,4000,TOP 09
Petr Svoboda,76,muž,Brno,32000,vysokoškolské,3600,ČSSD
Lucie Nováková,51,žena,Ostrava,28000,vyučená,4500,ANO
Eva Křížová,38,žena,Liberec,33000,středoškolské s maturitou,3800,Piráti
Martin Horák,46,muž,Plzeň,37000,vysokoškolské,4200,ODS
Pavel Dvorský,34,muž,Hradec Králové,29000,středoškolské s maturitou,3400,SPD
Tomáš Novotný,29,muž,Brno,32000,základní,3600,ČSSD
Lenka Svobodová,52,žena,Olomouc,28000,vyšší odborné,2900,ANO
Petr Válek,39,muž,Ostrava,53000,středoškolské bez maturity,4000,Piráti
Michaela Horáková,47,žena,Plzeň,31000,vysokoškolské,3750,ODS
Jiří Dvořák,34,muž,Liberec,29000,středoškolské s maturitou,3200,SPD
Tereza Novotná,28,žena,Brno,35000,vysokoškolské,2500,ČSSD
Lukáš Svoboda,52,muž,Praha,35000,středoškolské s maturitou,4600,ANO
Petra Kovaříková,39,žena,Ostrava,33000,vyšší odborné,3400,Piráti
Martin Horák,47,muž,Plzeň,38000,vysokoškolské,4000,ODS
Pavel Dvorský,34,muž,Liberec,29000,středoškolské bez maturity,3200,SPD
Ivana Nováková,28,žena,Brno,31000,vysokoškolské,2800,ČSSD
Tomáš Vlček,52,muž,Praha,45000,vysokoškolské,4500,ANO
Eva Šimková,39,žena,Ostrava,33000,středoškolské s maturitou,3600,Piráti
Martin Horák,47,muž,Plzeň,37000,vysokoškolské,4100,ODS
Lucie Svobodová,34,žena,Liberec,28000,vyšší odborné,3200,SPD
Petr Novák,30,muž,Brno,32000,středoškolské s maturitou,3400,ČSSD
Adam Dvorský,52,muž,Praha,45000,vysokoškolské,4500,ANO
Eva Kopecká,21,žena,Ostrava,31000,středoškolské s maturitou,3800,Piráti
Martin Horák,28,muž,Plzeň,29000,vyšší odborné,3650,ODS
Lucie Šimková,45,žena,Liberec,33000,středoškolské bez maturity,4000,SPD
Petr Novák,34,muž,Brno,37000,základní,3400,ČSSD
Adam Horák,52,muž,Praha,45000,vysokoškolské,4200,ANO
Eva Křížová,39,žena,Ostrava,31000,středoškolské s maturitou,3900,Piráti
Marek Svoboda,28,muž,Plzeň,29000,vyšší odborné,3600,ODS
Lucie Horáková,45,žena,Liberec,33000,středoškolské bez maturity,3750,SPD
Tomáš Novák,34,muž,Brno,37000,vysokoškolské,4000,ČSSD
Jiří Matouš,52,muž,Pardubice,28000,středoškolské s maturitou,3200,ANO
Maxim Kříž,39,muž,Ostrava,32000,vysokoškolské,4500,Piráti
Eva Svobodová,30,žena,Plzeň,29000,vysokoškolské,3400,TOP 09
Lucie Horáková,47,žena,Liberec,33000,středoškolské bez maturity,3600,SPD
Martin Novák,34,muž,Brno,37000,vysokoškolské,4000,ODS
Pavel Dvorský,52,muž,Praha,45000,vysokoškolské,5200,ANO
Petr Šimek,38,muž,Ostrava,31000,středoškolské s maturitou,3800,Piráti
Eva Křížová,29,žena,Plzeň,28000,vyšší odborné,3400,ČSSD
Lucie Novotná,47,žena,Liberec,33000,středoškolské bez maturity,4200,TOP 09
Tomáš Horák,34,muž,Brno,77000,vysokoškolské,4600,ODS
Martina Dvořáková,82,žena,Praha,45000,vysokoškolské,3200,ANO
Jiří Novák,39,muž,Ostrava,32000,středoškolské s maturitou,3800,Piráti
Jan Novák,28,muž,Plzeň,29000,vyšší odborné,3000,SPD
Lukáš Svoboda,45,muž,Liberec,40000,vysokoškolské,4200,ČSSD
Barbora Novotná,34,žena,Brno,37000,vysokoškolské,3500,ODS
Martin Dvořák,52,muž,Praha,45000,vysokoškolské,4600,ANO
Jasmína Horáková,38,žena,Ostrava,33000,středoškolské s maturitou,3800,Piráti
Petr Novák,29,muž,Plzeň,31000,vysokoškolské,3200,SPD
Eva Svobodová,47,žena,Liberec,29000,středoškolské bez maturity,4000,ČSSD
Lucie Křížová,34,žena,Brno,37000,vysokoškolské,3400,ODS
Michal Vlček,52,muž,Praha,45000,vysokoškolské,4500,ANO
Jana Dvořáková,38,žena,Ostrava,33000,vyšší odborné,3600,Piráti
Petr Novotný,29,muž,Plzeň,28000,středoškolské s maturitou,3200,SPD
Eva Hrubá,45,žena,Liberec,31000,vysokoškolské,4000,ČSSD
Lucie Svobodová,34,žena,Brno,37000,vysokoškolské,3800,ODS
Martin Konečný,52,muž,Praha,42000,vysokoškolské,4500,ANO
Jana Dvořáková,39,žena,Ostrava,33000,vyšší odborné,3600,Piráti
Petr Novák,28,muž,Plzeň,28000,střední s maturitou,3400,SPD
Tereza Horáková,45,žena,Liberec,31000,vysokoškolské,2900,ČSSD
Lucie Svobodová,34,žena,Brno,39000,vysokoškolské,4000,ODS
Martin Kříž,52,muž,Pardubice,52000,střední s maturitou,4500,ANO
Jana Dvořáková,42,žena,Ostrava,33000,vyšší odborné,3700,Piráti
Petr Novák,28,muž,Plzeň,28000,střední bez maturity,3200,SPD
Eva Horáková,47,žena,Liberec,36000,vysokoškolské,4100,ČSSD
Lucie Svobodová,34,žena,Brno,31000,vysokoškolské,3900,TOP 09
Martin Kříž,52,muž,Praha,45000,vysokoškolské,4800,ODS
Jana Dvořáková,39,žena,Ostrava,33000,vyšší odborné,3650,ANO
Petr Novák,28,muž,Plzeň,29000,středoškolské bez maturity,3400,Piráti
Eva Horáková,47,žena,Liberec,38000,vysokoškolské,4200,ČSSD
Lucie Svobodová,34,žena,Brno,31000,středoškolské s maturitou,3900,TOP 09
Martin Kříž,52,muž,Praha,45000,vysokoškolské,4800,ODS
Jana Dvořáková,39,žena,Ostrava,33000,vyšší odborné,3600,ANO
Petr Novák,28,muž,Plzeň,29000,středoškolské bez maturity,3200,Piráti
Eva Horáková,46,žena,Liberec,37000,vysokoškolské,4100,ČSSD
Lucie Svobodová,34,žena,Brno,38000,vysokoškolské,3500,TOP 09
Milan Kříž,52,muž,Pardubice,42000,středoškolské s maturitou,4800,ODS
Jana Dvořáková,39,žena,Ostrava,33000,vysokoškolské,3650,ANO
Petr Novák,28,muž,Plzeň,59000,středoškolské s maturitou,3200,Piráti
Eva Horáková,47,žena,Liberec,36000,vysokoškolské,4100,ČSSD
Lucie Svobodová,34,žena,Brno,38000,vysokoškolské,3500,TOP 09
Marek Kříž,52,muž,Pardubice,52000,vysokoškolské,4800,ODS
Jiří Matouš,39,muž,Ostrava,33000,středoškolské bez maturity,2900,ANO
Tomáš Novák,28,muž,Plzeň,28000,vyšší odborné,3300,Piráti
Eva Horáková,46,žena,Liberec,36000,vysokoškolské,4000,ČSSD
Lucie Svobodová,34,žena,Brno,39000,vysokoškolské,3600,TOP 09
Petr Kříž,52,muž,Praha,45000,vysokoškolské,4200,ODS
Jana Dvořáková,45,žena,Ostrava,33000,středoškolské s maturitou,3750,ANO
Martin Novák,26,muž,Plzeň,29000,vyšší odborné,3400,Piráti
Eva Horáková,48,žena,Liberec,37000,vysokoškolské,3900,ČSSD
Lucie Svobodová,38,žena,Brno,51000,středoškolské bez maturity,3600,TOP 09
Petr Válek,53,muž,Praha,45000,vysokoškolské,4200,ODS
Jarmila Dvořáková,41,žena,Ostrava,33000,středoškolské s maturitou,3750,ANO
Martin Novák,29,muž,Plzeň,28000,vyšší odborné,3400,Piráti
Eva Horáková,50,žena,Liberec,29000,středoškolské bez maturity,3850,ČSSD
Lucie Svobodová,37,žena,Brno,32000,vysokoškolské,3600,TOP 09
Petr Kopecký,54,muž,Hradec Králové,36000,středoškolské s maturitou,4100,ODS
Jana Dvořáková,40,žena,Ostrava,31000,vyšší odborné,3700,ANO
Martin Novák,25,muž,Plzeň,58000,středoškolské s maturitou,3400,Piráti
Eva Horáková,49,žena,Liberec,59000,vysokoškolské,3800,ČSSD
Lucie Svobodová,36,žena,Brno,12000,středoškolské bez maturity,3300,TOP 09
Petr Kříž,52,muž,Praha,55000,vysokoškolské,4600,ODS
Jana Dvořáková,39,žena,Ostrava,33000,vyšší odborné,3750,ANO
Martin Novák,27,muž,Plzeň,28000,středoškolské s maturitou,2500,Piráti
Eva Hrubá,46,žena,Liberec,37000,středoškolské s maturitou,4200,ČSSD
Lucie Šimková,35,žena,Brno,32000,středoškolské s maturitou,3500,TOP 09
Tomáš Vávra,43,muž,Praha,45000,vysokoškolské,4600,ODS
Jana Dvořáková,41,žena,Ostrava,30000,vyšší odborné,3300,ANO
Petr Novák,32,muž,Plzeň,28000,středoškolské s maturitou,3100,Piráti
Eva Horáková,44,žena,Liberec,35000,vysokoškolské,4000,ČSSD
Lucie Svobodová,34,žena,Brno,52000,vysokoškolské,3600,TOP 09
Martin Kříž,30,muž,Pardubice,27000,středoškolské s maturitou,2900,ODS
Jarmila Dvořáková,53,žena,Olomouc,31000,vyšší odborné,3800,ANO
Petr Novák,38,muž,Ostrava,49000,středoškolské bez maturity,3400,Piráti
Eva Horáková,46,žena,Plzeň,34000,vysokoškolské,4000,ČSSD
Lukáš Svoboda,32,muž,Brno,35000,vysokoškolské,3200,TOP 09
Marie Kopecká,27,žena,Praha,37000,vysokoškolské,2900,ODS
Jiří Dvořák,53,muž,Liberec,31000,vyšší odborné,3600,ANO
Petra Nováková,37,žena,Ostrava,29000,středoškolské s maturitou,3400,Piráti
Tomáš Horák,46,muž,Plzeň,33000,vysokoškolské,3750,SPD
Lucie Svobodová,35,žena,Brno,28000,středoškolské bez maturity,3200,ČSSD
Eva Křížová,30,žena,Pardubice,27000,vyšší odborné,3100,TOP 09
Martin Dvořák,53,muž,Liberec,35000,středoškolské s maturitou,4000,ODS
Jana Nováková,38,žena,Ostrava,29000,středoškolské s maturitou,3400,ANO
Petr Horák,45,muž,Plzeň,32000,středoškolské s maturitou,3650,Piráti
Lucie Svobodová,33,žena,Brno,31000,středoškolské s maturitou,2800,ČSSD
Eva Novotná,29,žena,Pardubice,27000,středoškolské s maturitou,2500,TOP 09
Michal Dvořák,54,muž,Liberec,55000,vyšší odborné,3900,ODS
Jana Kopecká,36,žena,Ostrava,29500,středoškolské bez maturity,3200,ANO
Petr Novák,44,muž,Plzeň,33000,vysokoškolské,4200,Piráti
Lucie Svobodová,32,žena,Brno,28000,vysokoškolské,3000,ČSSD
Eva Horáková,26,žena,Pardubice,55000,středoškolské s maturitou,2800,TOP 09
Eva Křížová,31,žena,Pardubice,27000,vysokoškolské,3600,ODS
Martina Horáková,54,žena,České Budějovice,32000,vysokoškolské,3900,ČSSD
Jiří Novák,38,muž,Brno,35000,středoškolské s maturitou,4500,ANO
Lucie Svobodová,46,žena,Ostrava,28000,vyšší odborné,4200,SPD
Pavel Dvořák,34,muž,Plzeň,51000,vysokoškolské,3300,Piráti
Eva Křížová,28,žena,Liberec,57000,středoškolské bez maturity,3600,ODS
Marek Beneš,54,muž,Pardubice,59000,vysokoškolské,4900,ČSSD
